alpha,test,mean,cv_mean,lower_percentile,upper_percentile,exp,step,linear
9.52631578947e-08,precision,0.16450298872093755,0.16786947467863128,0.14285714285714285,0.19364613880742912,63.915907041290801,23.0,42.813493930635794
9.52631578947e-08,recall,0.17327688032849969,0.1864696800759284,0.13728593741284098,0.20765027322404372,62.537017969032746,27.0,47.419661812555148
9.05263157895e-08,F1,0.16931287788172969,0.19074830791698261,0.1433697881066302,0.19639027034671319,60.157461431124162,22.0,44.329068902328977
9.05263157895e-08,accuracy,0.77056028368794327,0.7422839389945397,0.75815602836879437,0.78315602836879428,57.485583808808286,34.0,59.384615384615422
9.05263157895e-08,precision,0.16388431868331182,0.16510075067028995,0.1347918086798455,0.18961092482625555,66.951816651863879,28.0,53.038085267309661
9.05263157895e-08,recall,0.17748743954040122,0.23592166101823037,0.14786130576562825,0.2067722148541114,59.733908708450628,14.0,39.377240894214182
8.57894736842e-08,F1,0.16610920184447298,0.19996108931562162,0.14114347099546429,0.19196395868434549,66.464845502846217,24.0,47.225747870478571
8.57894736842e-08,accuracy,0.77287943262411352,0.77030188916086106,0.75921985815602844,0.78528368794326242,52.02322990210498,29.0,54.025641025641058
8.57894736842e-08,precision,0.16339458446481581,0.18767636684303352,0.13802753474009266,0.1812552242964614,71.894010272422804,26.0,51.460386130329454
8.57894736842e-08,recall,0.17144164787017985,0.21629165196813357,0.1381101132370168,0.20000000000000001,65.545780461128203,25.0,49.681867077346112
8.10526315789e-08,F1,0.16808766124426616,0.1735339381808968,0.1494847514273778,0.19125639386189258,66.182867596842669,17.0,45.725574662813131
8.10526315789e-08,accuracy,0.76762411347517723,0.76391577229649155,0.75301418439716317,0.7808510638297872,59.513280373161578,36.0,59.20512820512824
8.10526315789e-08,precision,0.16230933097087052,0.16559421495871077,0.13889864390296613,0.18523035230352303,70.848363841044872,25.0,51.549671800233398
8.10526315789e-08,recall,0.1768436984686142,0.1887170359148157,0.15616599462365591,0.2014072449837799,61.105845055156799,13.0,43.11069458209235
7.63157894737e-08,F1,0.16615910610773468,0.19691551307350191,0.14799635701275043,0.1870577698163905,70.13271130656959,21.0,50.879954747685197
7.63157894737e-08,accuracy,0.77118439716312048,0.76214146739471533,0.75957446808510642,0.78652482269503543,53.387984881650304,29.0,56.846153846153875
7.63157894737e-08,precision,0.16155610352331728,0.18306596504270922,0.14168533034714445,0.18291295057599405,71.271380697601685,21.0,45.858780244067056
7.63157894737e-08,recall,0.17462726566704301,0.21869589627455183,0.14538123167155426,0.2003048780487805,63.787582370626282,19.0,45.868134307619961
7.15789473684e-08,F1,0.16278132788747507,0.1742708123485173,0.13612891737891739,0.19414744738020601,66.30750632575851,28.0,46.807879862664578
7.15789473684e-08,accuracy,0.76788652482269493,0.75930835373124961,0.75602836879432622,0.78156028368794328,56.4466587971433,32.0,55.230769230769262
7.15789473684e-08,precision,0.15965177024755406,0.15989834135901551,0.1334076229114397,0.17958892958892958,73.476072338973054,31.0,54.997539477910514
7.15789473684e-08,recall,0.17026030538955314,0.19483198526787027,0.13613777287012657,0.1933280022251582,67.778452112321617,28.0,50.594066312904197
6.68421052632e-08,F1,0.16306152627767873,0.20748835912244146,0.14182891466445735,0.18506498063212262,70.669396358743811,24.0,50.512546256120103
6.68421052632e-08,accuracy,0.76895744680851064,0.7713600702943576,0.75496453900709226,0.78421985815602835,55.184258253862929,34.0,56.794871794871817
6.68421052632e-08,precision,0.15994827614276638,0.19378512910340986,0.13774409044193217,0.17795369142351902,72.910397309557169,27.0,52.075897036758697
6.68421052632e-08,recall,0.17049220787751562,0.22902572085805833,0.13768494756518709,0.19334795321637427,69.87660357200194,26.0,53.674906867897732
6.21052631579e-08,F1,0.17334126079087869,0.19293363506838243,0.1490282105953748,0.19677079677079676,60.950417170576515,16.0,42.058063163317449
6.21052631579e-08,accuracy,0.76817730496453906,0.76852821188727793,0.75815602836879437,0.7808510638297872,61.060505045712119,33.0,65.717948717948744
